repo,template_id,expected_version,detected_version,mode,source_ref,status,last_checked_at
my_portfolio,pr-template,1.1.1,1.1.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
my_portfolio,issue-bug,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
my_portfolio,issue-feature,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
my_portfolio,contributing-minimum,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
my_portfolio,readme-minimum,1.0.1,1.0.0,must,standards/docs/readme-minimum.md,aligned,2026-02-10T13:48:58Z
my_portfolio,ci-quality-gate,1.0.1,1.0.0,must,standards/ci/minimal-github-actions.md,aligned,2026-02-10T13:48:58Z
my_portfolio,editorconfig-default,1.0.1,1.0.0,optional,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
persian_tools,pr-template,1.1.1,1.1.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
persian_tools,issue-bug,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
persian_tools,issue-feature,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
persian_tools,contributing-minimum,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
persian_tools,readme-minimum,1.0.1,1.0.0,must,standards/docs/readme-minimum.md,aligned,2026-02-10T13:48:58Z
persian_tools,ci-quality-gate,1.0.1,1.0.0,must,standards/ci/minimal-github-actions.md,aligned,2026-02-10T13:48:58Z
persian_tools,editorconfig-default,1.0.1,1.0.0,optional,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
persian_tools,codeowners-default,1.1.1,1.1.0,optional,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
patreon_iran,pr-template,1.1.1,1.1.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
patreon_iran,issue-bug,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
patreon_iran,issue-feature,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
patreon_iran,contributing-minimum,1.0.1,1.0.0,must,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
patreon_iran,readme-minimum,1.0.1,n/a,must,standards/docs/readme-minimum.md,opted_out,2026-02-10T13:48:58Z
patreon_iran,ci-quality-gate,1.0.1,1.0.0,must,standards/ci/minimal-github-actions.md,aligned,2026-02-10T13:48:58Z
patreon_iran,editorconfig-default,1.0.1,1.0.0,optional,standards/coding/level-0.md,aligned,2026-02-10T13:48:58Z
